,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
28,60,RL,10839,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,3,3,PConc,4,3,No,Unf,0,Unf,0,926,926,GasA,5,Y,SBrkr,926,678,0,1604,0,0,2,1,3,1,3,7,Typ,1,3,Attchd,Fin,2,470,3,3,Y,0,36,0,0,0,0,0,7,2008,WD,Normal,181000
29,120,FV,4230,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,4,3,PConc,5,4,No,Unf,0,Unf,0,1352,1352,GasA,5,Y,SBrkr,1352,0,0,1352,0,0,2,0,2,1,4,5,Typ,1,4,Attchd,RFn,2,466,3,3,Y,0,241,0,0,0,0,0,4,2007,New,Partial,208900
30,50,RL,7438,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Feedr,1Fam,1.5Fin,5,8,1908,1991,Gable,CompShg,AsbShng,Plywood,None,3,3,PConc,2,3,No,Unf,0,Unf,0,504,504,GasA,4,Y,SBrkr,936,316,0,1252,0,0,1,0,3,1,3,5,Typ,0,0,Attchd,Unf,2,576,3,3,Y,104,0,0,0,0,0,0,6,2006,WD,Normal,127000
31,60,RL,10625,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,4,3,PConc,4,3,No,GLQ,866,Unf,0,132,998,GasA,5,Y,SBrkr,1006,1040,0,2046,1,0,2,1,3,1,4,8,Typ,1,4,BuiltIn,RFn,3,871,3,3,Y,320,62,0,0,0,0,0,8,2008,WD,Normal,284000
32,50,RL,18030,Pave,IR1,Bnk,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1.5Fin,5,6,1946,1994,Gable,CompShg,MetalSd,MetalSd,None,3,3,CBlock,3,3,No,Rec,152,BLQ,469,977,1598,GasA,3,Y,SBrkr,1636,971,479,3086,0,0,3,0,3,1,5,12,Maj1,1,4,NA,NA,0,0,0,0,Y,122,0,0,0,0,0,0,3,2007,WD,Normal,200500
33,20,RL,8475,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,7,1956,1956,Gable,CompShg,VinylSd,VinylSd,None,3,3,CBlock,3,3,No,ALQ,228,Unf,0,724,952,GasA,5,Y,FuseA,952,0,0,952,0,0,1,0,2,1,3,4,Typ,0,0,Detchd,Unf,1,283,3,3,Y,0,0,0,0,0,0,0,4,2008,WD,Normal,135750
34,20,RL,13501,Pave,IR1,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,4,3,PConc,4,3,No,GLQ,63,Unf,0,1560,1623,GasA,5,Y,SBrkr,1636,0,0,1636,1,0,2,0,3,1,4,8,Typ,1,4,Attchd,RFn,3,865,3,3,Y,0,60,0,0,0,0,0,6,2007,WD,Normal,255000
35,20,RL,9200,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,3,3,CBlock,3,3,No,Rec,892,Unf,0,244,1136,GasA,3,Y,SBrkr,1136,0,0,1136,1,0,1,0,3,1,3,5,Typ,1,4,Attchd,RFn,1,384,3,3,Y,426,0,0,0,0,0,0,7,2008,WD,Normal,140000
36,50,RL,7200,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,5,4,1950,1982,Gable,CompShg,VinylSd,Wd Sdng,None,3,3,CBlock,3,3,No,Rec,180,BLQ,352,676,1208,GasA,4,Y,FuseA,1136,768,0,1904,1,0,1,1,3,1,3,7,Min1,0,0,Attchd,Unf,1,240,3,3,Y,0,0,168,0,0,0,0,5,2009,WD,Normal,138000
37,60,RL,8200,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,None,4,3,PConc,4,3,No,Unf,0,Unf,0,847,847,GasA,5,Y,SBrkr,847,1081,0,1928,0,0,2,1,4,1,4,8,Typ,1,4,BuiltIn,Fin,2,434,3,3,Y,100,48,0,0,0,0,0,7,2007,WD,Normal,219500
38,60,RL,14541,Pave,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,7,1993,1993,Gable,CompShg,MetalSd,MetalSd,None,4,4,PConc,4,4,No,GLQ,1012,Unf,0,326,1338,GasA,5,Y,SBrkr,1352,1168,0,2520,1,0,2,1,5,1,4,10,Typ,1,3,Attchd,RFn,3,796,3,3,Y,209,55,0,0,0,0,0,11,2006,WD,Abnorml,310000
39,20,RM,12702,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,5,1956,1956,Gable,CompShg,BrkFace,BrkFace,None,3,3,PConc,0,0,NA,NA,0,NA,0,0,0,GasA,4,Y,FuseA,882,0,0,882,0,0,1,0,2,1,3,4,Typ,0,0,Detchd,Unf,1,308,3,3,Y,0,45,0,0,0,0,0,12,2008,WD,Normal,97000
40,50,RM,6240,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,3,3,PConc,3,3,No,Unf,0,Unf,0,816,816,GasA,3,Y,SBrkr,816,0,360,1176,0,0,1,0,3,1,3,6,Typ,1,4,Detchd,Unf,2,528,3,3,Y,112,0,0,0,0,0,400,9,2006,WD,Normal,114500
41,60,RL,8880,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1994,2002,Gable,CompShg,VinylSd,VinylSd,None,4,3,PConc,4,3,No,GLQ,695,Unf,0,253,948,GasA,5,Y,SBrkr,1222,888,0,2110,1,0,2,1,3,1,4,8,Typ,2,2,Attchd,RFn,2,463,3,3,Y,0,130,0,0,0,0,0,5,2010,WD,Normal,205000
42,20,RL,9758,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1971,1971,Gable,CompShg,HdBoard,MetalSd,None,3,3,CBlock,3,3,No,BLQ,412,LwQ,287,251,950,GasA,3,Y,SBrkr,950,0,0,950,0,0,1,0,3,1,3,5,Typ,0,0,Detchd,Unf,1,280,3,3,Y,0,0,0,0,0,0,0,7,2007,WD,Normal,119500
43,20,RL,12704,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2008,2009,Hip,CompShg,VinylSd,VinylSd,BrkFace,5,3,PConc,5,3,No,Unf,0,Unf,0,2042,2042,GasA,5,Y,SBrkr,2042,0,0,2042,0,0,2,1,3,1,5,8,Typ,1,4,Attchd,RFn,3,1390,3,3,Y,0,90,0,0,0,0,0,8,2009,New,Partial,253293
44,20,RL,9945,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1961,1961,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,3,3,CBlock,3,3,No,Rec,827,Unf,0,161,988,GasA,3,Y,SBrkr,988,0,0,988,1,0,1,0,3,1,3,5,Typ,0,0,Detchd,Unf,2,572,3,3,Y,0,0,0,0,0,0,0,10,2007,WD,Normal,128500
45,70,RM,9900,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,4,1880,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,3,3,BrkTil,3,3,Mn,Unf,0,Unf,0,1008,1008,GasW,3,Y,SBrkr,1178,1032,0,2210,0,0,2,0,5,1,2,8,Typ,0,0,Detchd,Unf,1,205,2,3,N,0,48,0,0,0,0,0,5,2007,WD,Normal,117500
46,20,RL,7800,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1964,1964,Gable,CompShg,Wd Sdng,Wd Sdng,None,3,3,CBlock,3,3,No,Rec,312,LwQ,600,0,912,GasA,3,Y,SBrkr,912,0,0,912,0,0,1,0,2,1,3,5,Typ,0,0,Attchd,Unf,1,288,3,3,Y,0,0,0,0,0,0,0,11,2006,WD,Abnorml,115000
47,20,RL,7742,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,3,3,CBlock,3,3,No,BLQ,763,Unf,0,192,955,GasA,5,Y,SBrkr,955,0,0,955,1,0,1,0,3,1,3,6,Typ,0,0,Attchd,Unf,1,386,3,3,Y,0,0,0,0,0,0,0,1,2007,WD,Normal,127000
48,60,RL,13478,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,10,5,2008,2008,Gable,CompShg,CemntBd,CmentBd,Stone,5,3,PConc,5,3,Gd,GLQ,1338,Unf,0,384,1722,GasA,5,Y,SBrkr,1728,568,0,2296,1,0,2,1,3,1,5,10,Typ,1,4,BuiltIn,RFn,3,842,3,3,Y,382,274,0,0,0,0,0,6,2009,ConLI,Normal,451950
49,50,RL,11344,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1.5Fin,5,5,1958,1958,Gable,CompShg,MetalSd,MetalSd,BrkFace,3,3,CBlock,3,3,No,BLQ,460,Unf,0,414,874,GasW,3,Y,FuseA,874,650,0,1524,0,0,1,1,3,1,3,7,Typ,0,0,Attchd,Unf,1,315,3,3,Y,0,0,0,0,0,0,0,7,2007,WD,Normal,144000
50,20,RL,7200,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1950,1950,Gable,CompShg,MetalSd,MetalSd,None,3,3,CBlock,3,3,No,BLQ,534,Rec,96,246,876,GasA,3,Y,SBrkr,988,0,0,988,0,0,1,0,3,1,3,6,Typ,0,0,Attchd,Unf,1,276,3,3,Y,0,80,0,0,0,0,0,5,2007,WD,Normal,119000
51,20,RL,9819,Pave,IR1,Lvl,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,ImStucc,None,3,3,PConc,3,3,Gd,ALQ,1567,Unf,0,0,1567,GasA,3,Y,SBrkr,1567,0,0,1567,1,0,2,0,2,1,4,5,Typ,2,3,Attchd,RFn,2,714,3,3,Y,264,32,0,0,0,0,0,5,2009,WD,Normal,196000
52,160,RM,2665,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,3,3,PConc,4,3,Mn,Unf,0,Unf,0,264,264,GasA,3,Y,SBrkr,616,688,0,1304,0,0,1,1,3,1,3,4,Typ,1,4,BuiltIn,Fin,1,336,3,3,Y,141,24,0,0,0,0,0,6,2008,WD,Normal,115000
53,20,RL,15498,Pave,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,8,6,1976,1976,Hip,WdShake,Stone,HdBoard,None,4,3,CBlock,4,3,Av,ALQ,1165,LwQ,400,0,1565,GasA,3,Y,SBrkr,2898,0,0,2898,1,0,2,0,2,1,4,10,Typ,1,4,Attchd,Fin,2,665,3,3,Y,0,72,174,0,0,0,0,5,2008,COD,Abnorml,287000
54,120,RM,4438,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,4,3,PConc,4,3,Gd,GLQ,662,Unf,0,186,848,GasA,5,Y,SBrkr,848,0,0,848,1,0,1,0,1,1,4,4,Typ,1,4,Attchd,Fin,2,420,3,3,Y,140,0,0,0,0,0,0,6,2008,ConLD,Normal,144500
55,20,RL,11645,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,4,3,PConc,4,3,Av,GLQ,1300,Unf,0,434,1734,GasA,5,Y,SBrkr,1734,0,0,1734,1,0,2,0,3,1,4,7,Typ,0,0,Attchd,Fin,2,660,3,3,Y,160,24,0,0,0,0,0,1,2006,WD,Normal,260000
56,60,RL,9317,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1993,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,4,3,PConc,4,3,No,ALQ,513,Unf,0,227,740,GasA,5,Y,SBrkr,1006,769,0,1775,1,0,2,1,3,1,4,7,Typ,1,3,Attchd,Unf,2,425,3,3,Y,234,72,192,0,0,0,0,7,2009,WD,Normal,213000
